Transaction_Amount,Transaction_Type,Account_Age,Transaction_Location,Transaction_Time,Fraudulent,Customer_ID,Loan_Amount,Loan_Purpose
2199.93,In-store,21.0,Chicago,0:57,0,CUST91186,36021.94,Business
875.52,In-store,18.0,Los Angeles,11:41,0,CUST15505,10584.69,Personal
1109.42,In-store,16.0,San Francisco,17:26,0,CUST48110,91714.73,Education
4052.24,In-store,8.0,Houston,23:43,0,CUST15744,36170.59,Education
571.92,Online,14.0,Los Angeles,18:21,0,CUST29211,26597.44,Business
3343.15,Online,29.0,New York,21:57,0,CUST55289,91207.61,Business
770.33,Online,21.0,Houston,16:48,0,CUST36185,75468.03,Personal
225.48,Online,5.0,Houston,8:56,0,CUST59757,33761.05,Business
3464.02,ATM,17.0,Chicago,6:53,0,CUST96848,16119.27,Business
540.58,In-store,1.0,San Francisco,21:37,0,CUST52057,78142.46,Mortgage
4376.04,ATM,22.0,Chicago,23:35,0,CUST61312,83975.29,Business
4208.0,Online,10.0,Chicago,8:40,0,CUST68373,89823.95,Education
174.74,Online,10.0,Chicago,22:25,0,CUST89736,41821.86,Business
1593.82,Online,1.0,San Francisco,15:45,0,CUST26467,84762.64,Personal
357.67,Online,15.0,New York,2:13,0,CUST38381,62939.97,Mortgage
15.1,Online,18.0,San Francisco,22:31,0,CUST49880,45285.66,Education
3521.19,In-store,9.0,Chicago,13:9,0,CUST65356,62756.45,Business
4302.17,In-store,16.0,Los Angeles,20:46,0,CUST26824,24567.23,Mortgage
1765.15,Online,29.0,San Francisco,3:2,0,CUST81623,38194.88,Personal
942.09,ATM,10.0,Chicago,3:28,0,CUST18432,58680.66,Education
1259.67,ATM,5.0,Los Angeles,13:15,0,CUST23257,7468.7,Mortgage
890.49,ATM,11.0,Chicago,3:28,0,CUST27809,92713.32,Personal
4758.0,ATM,28.0,Houston,7:4,0,CUST77692,82000.3,Mortgage
4707.43,Online,30.0,Los Angeles,22:28,0,CUST92300,85464.55,Personal
4432.17,Online,24.0,Houston,8:52,0,CUST36251,84774.25,Education
1012.54,Online,22.0,San Francisco,11:1,0,CUST11355,60225.59,Business
3882.5,In-store,21.0,Chicago,3:46,0,CUST26147,12974.18,Personal
1158.35,Online,16.0,Houston,5:57,0,CUST87890,72641.23,Education
2982.11,In-store,21.0,Los Angeles,7:57,0,CUST62791,73354.98,Business
175.48,Online,17.0,San Francisco,11:9,0,CUST81865,95581.41,Business
4579.54,Online,3.0,Chicago,20:44,0,CUST22295,14308.75,Education
3959.42,In-store,4.0,Chicago,7:52,0,CUST39878,88762.84,Education
4693.16,ATM,8.0,Los Angeles,9:51,0,CUST35684,9642.8,Business
1102.72,In-store,8.0,Chicago,14:45,0,CUST49442,41735.68,Mortgage
646.17,Online,10.0,San Francisco,0:40,0,CUST76209,78354.87,Education
4808.02,ATM,16.0,San Francisco,3:30,0,CUST89106,21190.7,Education
3482.08,ATM,22.0,New York,22:51,0,CUST62545,48594.14,Education
763.45,Online,17.0,New York,6:30,0,CUST81950,21762.49,Education
1507.17,Online,6.0,San Francisco,12:37,0,CUST89879,83825.68,Personal
71.28,ATM,22.0,Chicago,4:32,0,CUST63129,16328.35,Business
3238.54,In-store,30.0,San Francisco,3:49,0,CUST90882,29046.32,Personal
3112.32,In-store,3.0,Houston,0:39,0,CUST71377,6065.56,Personal
3427.59,In-store,27.0,Los Angeles,16:5,0,CUST31311,72831.63,Personal
1529.97,In-store,7.0,Houston,5:13,0,CUST75875,16980.39,Personal
4566.34,Online,22.0,Los Angeles,18:21,0,CUST42413,74013.48,Education
3375.42,In-store,14.0,Chicago,19:5,0,CUST43032,50464.66,Mortgage
2768.63,ATM,16.0,San Francisco,21:44,0,CUST29942,27785.62,Mortgage
1926.66,Online,8.0,Chicago,10:42,0,CUST79105,8229.73,Mortgage
3386.38,ATM,5.0,Houston,9:54,0,CUST31103,23259.81,Mortgage
1265.4,ATM,22.0,Chicago,4:38,0,CUST27341,7931.62,Mortgage
2138.54,Online,25.0,Houston,23:15,0,CUST66317,25520.22,Education
4038.61,Online,26.0,New York,16:44,0,CUST81348,67566.72,Mortgage
2657.71,ATM,25.0,Chicago,4:24,0,CUST89215,50367.12,Education
439.05,In-store,25.0,Chicago,13:11,0,CUST20662,24408.25,Personal
2890.06,ATM,5.0,Houston,10:49,0,CUST15901,23736.42,Business
1520.94,Online,18.0,New York,18:11,0,CUST47782,39373.59,Business
1987.09,ATM,21.0,Los Angeles,23:11,0,CUST59079,82339.34,Education
614.09,In-store,5.0,Chicago,22:59,0,CUST21451,90696.02,Education
1355.74,Online,25.0,San Francisco,5:11,0,CUST54233,87367.91,Business
1249.74,In-store,9.0,Los Angeles,16:27,0,CUST43130,53219.84,Personal
761.16,ATM,12.0,New York,11:28,0,CUST22164,61107.9,Mortgage
1560.5,Online,20.0,San Francisco,4:58,0,CUST77053,58864.71,Business
751.34,Online,29.0,Chicago,19:58,0,CUST98754,17424.28,Personal
1295.42,In-store,13.0,New York,20:43,0,CUST47867,69541.63,Business
4411.39,ATM,12.0,New York,9:55,0,CUST93468,63617.47,Personal
1824.64,Online,30.0,New York,16:34,0,CUST46500,9518.04,Education
4137.2,In-store,3.0,Chicago,13:21,0,CUST28086,68580.44,Mortgage
303.47,In-store,10.0,Los Angeles,8:9,0,CUST92413,63837.71,Personal
4364.82,ATM,24.0,New York,15:13,0,CUST61266,9206.39,Mortgage
1856.17,ATM,2.0,San Francisco,3:51,0,CUST41562,90411.3,Personal
1787.3,Online,19.0,Houston,8:36,0,CUST43143,76203.58,Education
2359.29,In-store,1.0,New York,12:42,0,CUST15781,29913.77,Business
2173.78,Online,23.0,San Francisco,19:46,0,CUST41239,79965.04,Mortgage
1206.52,Online,22.0,San Francisco,9:50,0,CUST85919,98322.6,Business
3294.69,ATM,20.0,Chicago,21:41,0,CUST87234,7557.63,Education
4510.76,In-store,18.0,Chicago,0:10,0,CUST73105,52205.41,Personal
2309.09,ATM,1.0,Chicago,5:13,0,CUST28421,57972.22,Business
4732.73,Online,24.0,New York,21:18,0,CUST97586,96392.13,Mortgage
